STATION,LAT,LON,ALT,PARAMETER,YEAR,MONTH,DAY,HOUR,AVERAGING_PERIOD,CONCENTRATION,UNITS
Station84,6.1998701,-75.5609512,1,pm25,2019,1,1,6,1,26.6834,ug/m3
Station85,6.2778502,-75.6364288,1,pm25,2019,1,1,6,1,108.414,ug/m3
Station86,6.2904806,-75.5555191,1,pm25,2019,1,1,6,1,198.456,ug/m3
Station87,6.3375502,-75.5678024,1,pm25,2019,1,1,6,1,188.874,ug/m3
Station88,6.1686831,-75.5819702,1,pm25,2019,1,1,6,1,44.5809,ug/m3
Station90,6.1433334,-75.6202774,1,pm25,2019,1,1,6,1,62.714,ug/m3
Station12,6.2525611,-75.5695801,1,pm25,2019,1,1,7,1,79,ug/m3
Station25,6.2633696,-75.5770035,1,pm25,2019,1,1,7,1,62,ug/m3
Station28,6.1856666,-75.5972061,1,pm25,2019,1,1,7,1,198,ug/m3
Station3,6.3790379,-75.4509125,1,pm25,2019,1,1,7,1,54,ug/m3
Station31,6.0990806,-75.6386261,1,pm25,2019,1,1,7,1,57,ug/m3
Station38,6.1684971,-75.6443558,1,pm25,2019,1,1,7,1,74,ug/m3
Station44,6.1825418,-75.5506363,1,pm25,2019,1,1,7,1,22,ug/m3
Station48,6.1523128,-75.6274872,1,pm25,2019,1,1,7,1,98,ug/m3
Station69,6.0930777,-75.637764,1,pm25,2019,1,1,7,1,76.2018,ug/m3
Station78,6.1555305,-75.6441727,1,pm25,2019,1,1,7,1,19,ug/m3
Station79,6.2218938,-75.6106033,1,pm25,2019,1,1,7,1,36.6871,ug/m3
Station80,6.2589092,-75.5482635,1,pm25,2019,1,1,7,1,49.159,ug/m3
Station81,6.4369602,-75.3303986,1,pm25,2019,1,1,7,1,50.3542,ug/m3
Station82,6.3453598,-75.5047531,1,pm25,2019,1,1,7,1,99999,ug/m3
Station83,6.2372341,-75.610466,1,pm25,2019,1,1,7,1,58.6878,ug/m3
Station84,6.1998701,-75.5609512,1,pm25,2019,1,1,7,1,23.0106,ug/m3
Station85,6.2778502,-75.6364288,1,pm25,2019,1,1,7,1,70.1561,ug/m3
Station86,6.2904806,-75.5555191,1,pm25,2019,1,1,7,1,134.02,ug/m3
Station87,6.3375502,-75.5678024,1,pm25,2019,1,1,7,1,110.198,ug/m3
Station88,6.1686831,-75.5819702,1,pm25,2019,1,1,7,1,44.5023,ug/m3
Station90,6.1433334,-75.6202774,1,pm25,2019,1,1,7,1,44.5194,ug/m3
Station12,6.2525611,-75.5695801,1,pm25,2019,1,1,8,1,59,ug/m3
Station25,6.2633696,-75.5770035,1,pm25,2019,1,1,8,1,75,ug/m3
Station28,6.1856666,-75.5972061,1,pm25,2019,1,1,8,1,160,ug/m3
Station3,6.3790379,-75.4509125,1,pm25,2019,1,1,8,1,49,ug/m3
Station31,6.0990806,-75.6386261,1,pm25,2019,1,1,8,1,65,ug/m3
Station38,6.1684971,-75.6443558,1,pm25,2019,1,1,8,1,56,ug/m3
Station44,6.1825418,-75.5506363,1,pm25,2019,1,1,8,1,11,ug/m3
Station48,6.1523128,-75.6274872,1,pm25,2019,1,1,8,1,73,ug/m3
Station69,6.0930777,-75.637764,1,pm25,2019,1,1,8,1,53.8757,ug/m3
Station78,6.1555305,-75.6441727,1,pm25,2019,1,1,8,1,27,ug/m3
Station79,6.2218938,-75.6106033,1,pm25,2019,1,1,8,1,39.022,ug/m3
Station80,6.2589092,-75.5482635,1,pm25,2019,1,1,8,1,59.9013,ug/m3
Station81,6.4369602,-75.3303986,1,pm25,2019,1,1,8,1,35.0655,ug/m3
Station82,6.3453598,-75.5047531,1,pm25,2019,1,1,8,1,99999,ug/m3
Station83,6.2372341,-75.610466,1,pm25,2019,1,1,8,1,50.2286,ug/m3
Station84,6.1998701,-75.5609512,1,pm25,2019,1,1,8,1,20.5705,ug/m3
Station85,6.2778502,-75.6364288,1,pm25,2019,1,1,8,1,44.2872,ug/m3
Station86,6.2904806,-75.5555191,1,pm25,2019,1,1,8,1,83.9968,ug/m3
Station87,6.3375502,-75.5678024,1,pm25,2019,1,1,8,1,94.8215,ug/m3
Station88,6.1686831,-75.5819702,1,pm25,2019,1,1,8,1,44.4149,ug/m3
Station90,6.1433334,-75.6202774,1,pm25,2019,1,1,8,1,45.7275,ug/m3
Station12,6.2525611,-75.5695801,1,pm25,2019,1,1,9,1,58,ug/m3
Station25,6.2633696,-75.5770035,1,pm25,2019,1,1,9,1,65,ug/m3
Station28,6.1856666,-75.5972061,1,pm25,2019,1,1,9,1,155,ug/m3
Station3,6.3790379,-75.4509125,1,pm25,2019,1,1,9,1,38,ug/m3
Station31,6.0990806,-75.6386261,1,pm25,2019,1,1,9,1,35,ug/m3
Station38,6.1684971,-75.6443558,1,pm25,2019,1,1,9,1,37,ug/m3
Station44,6.1825418,-75.5506363,1,pm25,2019,1,1,9,1,22,ug/m3
Station48,6.1523128,-75.6274872,1,pm25,2019,1,1,9,1,78,ug/m3
Station69,6.0930777,-75.637764,1,pm25,2019,1,1,9,1,31.6231,ug/m3
Station78,6.1555305,-75.6441727,1,pm25,2019,1,1,9,1,31,ug/m3
